director_name,actor_2_name,actor_1_name,movie_title,actor_3_name
Gilles Paquet-Brenner,Aidan Quinn,Kristin Scott Thomas,Sarah's Key ,Arben Bajraktaraj
Peter Cousens,David Rasche,Sharon Leal,Freedom ,Bart Shatto
Clint Eastwood,Morgan Freeman,Clint Eastwood,Unforgiven ,Frances Fisher
Lars von Trier,Jeremy Davies,Bryce Dallas Howard,Manderlay ,Jean-Marc Barr
Danny Boyle,Saurabh Shukla,Anil Kapoor,Slumdog Millionaire ,Ayush Mahesh Khedekar
Adrian Lyne,Lois Smith,Fred Gwynne,Fatal Attraction ,Anne Archer
Garry Marshall,Hector Elizondo,Julia Roberts,Pretty Woman ,Jason Alexander
John Blanchard,Andrea Martin,Martin Short,Towering Inferno             ,Joe Flaherty
John Cornell,Linda Kozlowski,Paul Hogan,Crocodile Dundee II ,John Meillon
Vidhu Vinod Chopra,Chris Marquette,María Valverde,Broken Horses ,Chad Bishop
Oliver Stone,Tom Berenger,Tom Cruise,Born on the Fourth of July ,Stephen Baldwin
Jon Turteltaub,Leon,Doug E. Doug,Cool Runnings ,Malik Yoba
Patrick Lussier,Jaime King,Jensen Ackles,My Bloody Valentine ,Edi Gathegi
Ole Bornedal,Madison Davenport,Kyra Sedgwick,The Possession ,Natasha Calis
Ted Kotcheff,Brian Dennehy,Sylvester Stallone,First Blood ,Chris Mulkey
Sylvain White,Laz Alonso,Chris Brown,Stomp the Yard ,Harry Lennix
Lewis Gilbert,Desmond Llewelyn,Caroline Munro,The Spy Who Loved Me ,Barbara Bach
,,,,
Jamie Blanks,Loretta Devine,Alicia Witt,Urban Legend ,Julian Richings
Stephen Frears,Peter Capaldi,Keanu Reeves,Dangerous Liaisons ,Swoosie Kurtz
Tyler Perry,Phylicia Rashad,Eddie Cibrian,Good Deeds ,Jamie Kennedy
Randal Kleiser,Klaus Maria Brandauer,Seymour Cassel,White Fang ,Susan Hogan
Bruce McCulloch,Elaine Hendrix,Will Ferrell,Superstar ,Molly Shannon
Phyllida Lloyd,Jim Broadbent,Meryl Streep,The Iron Lady ,Olivia Colman
Mike Nawrocki,Mike Nawrocki,Phil Vischer,Jonah: A VeggieTales Movie ,Shelby Vischer
John Singleton,Khandi Alexander,Janet Jackson,Poetic Justice ,Maya Angelou
Kevin Bray,Roger Guenveur Smith,Mike Epps,All About the Benjamins ,Gino Salvano
Wes Craven,W. Earl Brown,John Witherspoon,Vampire in Brooklyn ,Allen Payne
John Boorman,Richard Burton,Linda Blair,Exorcist II: The Heretic ,Ned Beatty
Courtney Solomon,James D'Arcy,Sissy Spacek,An American Haunting ,Vernon Dobtcheff
David Zucker,Tyler Labine,Carmen Electra,My Boss's Daughter ,Molly Shannon
David Twohy,Milla Jovovich,Chris Hemsworth,A Perfect Getaway ,Marley Shelton
Rick Famuyiwa,Lance Gross,America Ferrera,Our Family Wedding ,Lupe Ontiveros
Alan Cohn,Linda Cardellini,Alyson Hannigan,Dead Man on Campus ,Poppy Montgomery
Franco Zeffirelli,Joan Plowright,Lily Tomlin,Tea with Mussolini ,Paolo Seganti
Tom Holland,Bethany Joy Lenz,Joe Mantegna,Thinner ,Kari Wuhrer
Martin Scorsese,Liza Minnelli,Robert De Niro,"New York, New York ",Mary Kay Place
Spike Lee,Delroy Lindo,Alfre Woodard,Crooklyn ,Isaiah Washington
Chris Rock,Eliza Coupe,Steve Buscemi,I Think I Love My Wife ,Wendell Pierce
James Isaac,Kane Hodder,Peter Mensah,Jason X ,Lexa Doig
Shawn Levy,Donald Faison,Frankie Muniz,Big Fat Liar ,Lee Majors
Emilio Estevez,Nick Cannon,Anthony Hopkins,Bobby ,Brian Geraghty
Mark Waters,Ivana Milicevic,Monica Potter,Head Over Heels ,China Chow
Josh Schwartz,Jackson Nicoll,Thomas McDonell,Fun Size ,Osric Chau
Julian Schnabel,Mathieu Amalric,Emmanuelle Seigner,The Diving Bell and the Butterfly ,Isaach De Bankolé
Todd Field,Noah Emmerich,Kate Winslet,Little Children ,Jane Adams
Davis Guggenheim,Sharon Lawrence,Norman Reedus,Gossip ,Noam Jenkins
Tony Goldwyn,Julie Kavner,Viggo Mortensen,A Walk on the Moon ,Tovah Feldshuh
Phillip Noyce,Terry Pheto,Derek Luke,Catch a Fire ,Bonnie Henna
Stephen Carpenter,Angela Featherstone,Melissa Sagemiller,Soul Survivors ,Candace Kroslak
James Ivory,Todd Boyce,Seth Gilliam,Jefferson in Paris ,Nigel Whitmey
Stephan Elliott,Kristin Scott Thomas,Colin Firth,Easy Virtue ,Kris Marshall
James Fargo,Joseph Cotten,Christopher Lee,Caravans ,Behrouz Vossoughi
Mike Leigh,Ruth Sheen,Lesley Manville,Mr. Turner ,Karl Johnson
Alain Resnais,Sara Forestier,Mathieu Amalric,Wild Grass ,Edouard Baer
Costa-Gavras,Mathieu Kassovitz,Sebastian Koch,Amen. ,Ulrich Mühe
Chao-Bin Su,Shawn Yue,Woo-sung Jung,Reign of Assassins ,Kelly Lin
Neil Burger,Katherine LaNasa,John Heard,The Lucky Ones ,Mark L. Young
Kenneth Lonergan,Kieran Culkin,Matt Damon,Margaret ,John Gallagher Jr.
Bo Zenga,Kenan Thompson,Steve Howey,Stan Helsing ,Diora Baird
Rob Reiner,Rebecca De Mornay,Madeline Carroll,Flipped ,Aidan Quinn
Ang Lee,Heath Ledger,Jake Gyllenhaal,Brokeback Mountain ,Anne Hathaway
Jonathan Liebesman,Danny Woodburn,Noel Fisher,Teenage Mutant Ninja Turtles ,Jeremy Howard
Amy Heckerling,Dan Hedaya,Donald Faison,Clueless ,Elisa Donovan
Todd Haynes,Celia Weston,Dennis Quaid,Far from Heaven ,Michael Gaston
Steve Pink,Gillian Jacobs,Adam Scott,Hot Tub Time Machine 2 ,Collette Wolfe
,,,,
Philip Kaufman,Stephen Marcus,Kate Winslet,Quills ,Amelia Warner
Martin McDonagh,Gabourey Sidibe,Abbie Cornish,Seven Psychopaths ,Michael Stuhlbarg
Kasi Lemmons,Tamara Tunie,Colm Feore,The Caveman's Valentine ,Aunjanue Ellis
,,,,
Oliver Hirschbiegel,Bruno Ganz,Thomas Kretschmann,Downfall ,Alexandra Maria Lara
Alejandro Amenábar,Lola Dueñas,Belén Rueda,The Sea Inside ,Tamar Novas
Jonathan Glazer,Paul Brannigan,Scarlett Johansson,Under the Skin ,Alison Chand
Barry Levinson,J.T. Walsh,Robin Williams,"Good Morning, Vietnam ",Bruno Kirby
Hyung-rae Shim,Stephanie Danielson,Jason Mewes,The Last Godfather ,Michael Rispoli
Jon M. Chu,Sean Kingston,Usher Raymond,Justin Bieber: Never Say Never ,Boys II Men
Darren Aronofsky,Mila Kunis,Natalie Portman,Black Swan ,Mark Margolis
José Padilha,Abbie Cornish,Gary Oldman,RoboCop ,Jennifer Ehle
Francis Ford Coppola,Al Pacino,Robert De Niro,The Godfather: Part II ,Robert Duvall
Thomas Carter,Terry Kinney,Sean Patrick Thomas,Save the Last Dance ,Fredro Starr
Renny Harlin,Rodney Eastman,Tuesday Knight,A Nightmare on Elm Street 4: The Dream Master ,Brooke Bundy
Patricia Riggen,Brighton Sharbino,Jennifer Garner,Miracles from Heaven ,Martin Henderson
Danny Leiner,Mary Lynn Rajskub,Jennifer Garner,"Dude, Where's My Car? ",Marla Sokoloff
Christopher Cain,Patrick Wayne,Jack Palance,Young Guns ,Brian Keith
Theodore Melfi,Naomi Watts,Bill Murray,St. Vincent ,Reg E. Cathey
Steve Pink,Regina Hall,Joe Lo Truglio,About Last Night ,Bryan Callen
Gil Junger,Heath Ledger,Joseph Gordon-Levitt,10 Things I Hate About You ,Andrew Keegan
Ed Decter,Eddie Griffin,Zooey Deschanel,The New Guy ,Gene Simmons
Gene Quintano,Lin Shaye,Jon Lovitz,Loaded Weapon 1 ,Bill Nunn
Jaume Collet-Serra,Brett Cullen,Óscar Jaenada,The Shallows ,Sedona Legge
Eric Bress,Eric Stoltz,Logan Lerman,The Butterfly Effect ,Cameron Bright
Chris Koch,Mark Webber,Chris Elliott,Snow Day ,Jean Smart
Preston A. Whitmore II,Chris Brown,Mekhi Phifer,This Christmas ,Loretta Devine
Bob Clark,Dom DeLuise,Kathleen Turner,Baby Geniuses ,Ruby Dee
Kirk Wong,Elliott Gould,Bokeem Woodbine,The Big Hit ,Antonio Sabato Jr.
Bronwen Hughes,Eartha Kitt,Gregory Smith,Harriet the Spy ,Charlotte Sullivan
John Lafia,Beth Grant,Jenny Agutter,Child's Play 2 ,Greg Germann
Sam Miller,Kate del Castillo,Leslie Bibb,No Good Deed ,Henry Simmons
Frank Darabont,Alexa Davalos,Toby Jones,The Mist ,Jeffrey DeMunn
Alex Garland,Sonoya Mizuno,Elina Alminas,Ex Machina ,Corey Johnson
Spike Jonze,Orson Bean,Willie Garson,Being John Malkovich ,Mary Kay Place
Mark Brown,Vivica A. Fox,Mo'Nique,Two Can Play That Game ,Tamala Jones
Dave Green,Ella Wahlestedt,Teo Halm,Earth to Echo ,Jason Gray-Stanford
John Stockwell,Jay Hernandez,Kirsten Dunst,Crazy/Beautiful ,Rolando Molina
Clint Eastwood,Kazunari Ninomiya,Yuki Matsuzaki,Letters from Iwo Jima ,Shidô Nakamura
Michael Polish,Virginia Madsen,J.K. Simmons,The Astronaut Farmer ,Bruce Dern
Daisy von Scherler Mayer,Jada Pinkett Smith,LL Cool J,Woo ,Dave Chappelle
Lenny Abrahamson,Jacob Tremblay,Joan Allen,Room ,Cas Anvar
Bob Saget,Jack Warden,Don Rickles,Dirty Work ,Traylor Howard
John Waters,Sam Waterston,Kathleen Turner,Serial Mom ,Traci Lords
Andrew Fleming,Will Ferrell,Ryan Reynolds,Dick ,Kirsten Dunst
Niels Arden Oplev,David Dencik,Michael Nyqvist,Del 1 - Män som hatar kvinnor             ,Lena Endre
Craig Bolotin,Vanessa Williams,Rosario Dawson,Light It Up ,Robert Ri'chard
Mark Christopher,Ellen Albertini Dow,Salma Hayek,54 ,Sela Ward
Blair Hayes,Geoffrey Arend,Jake Gyllenhaal,Bubble Boy ,Marley Shelton
Jez Butterworth,Mathieu Kassovitz,Mark Gatiss,Birthday Girl ,Ben Chaplin
Jon Lucas,Josie Loren,Justin Chon,21 & Over ,Sarah Wright
Olivier Assayas,Miranda Richardson,Steve Buscemi,"Paris, je t'aime ",Catalina Sandino Moreno
Rod Lurie,Kathryn Morris,Harry Lennix,Resurrecting the Champ ,Peter Coyote
Paul Weitz,Sarita Choudhury,Tina Fey,Admission ,Christopher Evan Welch
Patrice Leconte,Daniel Auteuil,Emir Kusturica,The Widow of Saint-Pierre ,Yves Jacques
Atom Egoyan,Meghan Heffern,Liam Neeson,Chloe ,Natalie Lisinska
Paul Mazursky,Ryan O'Neal,Chazz Palminteri,Faithful ,Paul Mazursky
Jim Sheridan,Jake Gyllenhaal,Natalie Portman,Brothers ,Ethan Suplee
Sidney Lumet,Vin Diesel,Peter Dinklage,Find Me Guilty ,Alex Rocco
Stephen Chbosky,Ezra Miller,Logan Lerman,The Perks of Being a Wallflower ,Kate Walsh
Jon Hess,Ian Gomez,Burt Young,Excessive Force ,Thomas Ian Griffith
Douglas McGrath,Isabella Rossellini,Toby Jones,Infamous ,Hope Davis
Michael Winterbottom,Sarah Polley,Milla Jovovich,The Claim ,Shirley Henderson
Mark Neveldine,Alison Lohman,Djimon Hounsou,The Vatican Tapes ,Dougray Scott
Joe Cornish,Luke Treadaway,John Boyega,Attack the Block ,Jodie Whittaker
Angelina Jolie Pitt,Nikola Djuricko,Jelena Jovanova,In the Land of Blood and Honey ,Branko Djuric
Brad Anderson,Tara Platt,Michael Imperioli,The Call ,Roma Maffia
John H. Lee,Dean Dawson,Liam Neeson,Operation Chromite ,Jung-jae Lee
John Stainton,Aden Young,Steve Irwin,The Crocodile Hunter: Collision Course ,Steve Bastoni
Glenn Ficarra,Louis Herthum,Dameon Clarke,I Love You Phillip Morris ,Annie Golden
Jean-Jacques Annaud,Everett McGill,Rae Dawn Chong,Quest for Fire ,Gary Schwartz
Denzel Washington,Kevin Connolly,Denzel Washington,Antwone Fisher ,Derek Luke
Michael Hoffman,Embeth Davidtz,Gabriel Millman,The Emperor's Club ,Rob Morrow
Tony Scott,Gary Oldman,Brad Pitt,True Romance ,Michael Rapaport
Benedek Fliegauf,Matt Smith,Eva Green,Womb ,Hannah Murray
James Foley,Al Pacino,Kevin Spacey,Glengarry Glen Ross ,Jude Ciccolella
Michael Winterbottom,Ned Beatty,Liam Aiken,The Killer Inside Me ,Jay R. Ferguson
Paul Schrader,Ruby Dee,Ed Begley Jr.,Cat People ,John Heard
Stewart Hendler,Margo Harshman,Julian Morris,Sorority Row ,Rumer Willis
John Cromwell,Mary Astor,David Niven,The Prisoner of Zenda ,Ronald Colman
Craig Gillespie,Kelli Garner,Ryan Gosling,Lars and the Real Girl ,Paul Schneider
Mark Herman,Sheila Hancock,Richard Johnson,The Boy in the Striped Pajamas ,Cara Horgan
Lars von Trier,Udo Kier,Catherine Deneuve,Dancer in the Dark ,Björk
Gillian Armstrong,Richard Roxburgh,Tom Wilkinson,Oscar and Lucinda ,Clive Russell
Abel Ferrara,Vincent Gallo,Isabella Rossellini,The Funeral ,Gretchen Mol
Brian Koppelman,David Costabile,Jenna Fischer,Solitary Man ,Richard Schiff
Ethan Maniquis,Don Johnson,Robert De Niro,Machete ,Cheech Marin
George Hickenlooper,Eric Schweig,Kevin Spacey,Casino Jack ,Christian Campbell
Don Bluth,Gabriel Damon,Judith Barsi,The Land Before Time ,Bill Erwin
Je-kyu Kang,Bin Won,Min-sik Choi,Tae Guk Gi: The Brotherhood of War ,Dong-gun Jang
William Dear,Cheech Marin,Clifton Collins Jr.,The Perfect Game ,Bruce McGill
William Friedkin,Linda Blair,Ellen Burstyn,The Exorcist ,Lee J. Cobb
Steven Spielberg,Robert Shaw,Roy Scheider,Jaws ,Murray Hamilton
Paul Weitz,Shannon Elizabeth,Alyson Hannigan,American Pie ,Natasha Lyonne
Stéphane Aubier,Megan Mullally,Mackenzie Foy,Ernest & Celestine ,Lambert Wilson
Michael Ritchie,Randall 'Tex' Cobb,Victor Wong,The Golden Child ,Charlotte Lewis
Tim Story,Romany Malco,Chris Brown,Think Like a Man ,Regina Hall
Tim Story,Jason George,Sean Patrick Thomas,Barbershop ,Cedric the Entertainer
Nicholas Meyer,Kirstie Alley,Leonard Nimoy,Star Trek II: The Wrath of Khan ,Nichelle Nichols
Tom Shadyac,Udo Kier,Sean Young,Ace Ventura: Pet Detective ,David Margulies
John Badham,Barry Corbin,Matthew Broderick,WarGames ,Ally Sheedy
Peter Weir,Viggo Mortensen,Harrison Ford,Witness ,Lukas Haas
Mike McCoy,Jason Cottle,Alex Veadov,Act of Valor ,Rorke Denver
Anne Fletcher,Alyson Stoner,Channing Tatum,Step Up ,Josh Henderson
Mike Judge,Demi Moore,Bruce Willis,Beavis and Butt-Head Do America ,John Doman
Quentin Tarantino,Sid Haig,Robert De Niro,Jackie Brown ,Robert Forster
Jon Hurwitz,Eric Winter,Danneel Ackles,Harold & Kumar Escape from Guantanamo Bay ,Beverly D'Angelo
Josh Trank,Alex Russell,Michael Kelly,Chronicle ,Ashley Hinshaw
Barbra Streisand,Amy Irving,Miriam Margolyes,Yentl ,Steven Hill
Terry Gilliam,Michael Palin,Shelley Duvall,Time Bandits ,Kenny Baker
Tamra Davis,Katherine Boecher,Britney Spears,Crossroads ,Dave Allen
Nima Nourizadeh,Kirby Bliss Blanton,Dax Flame,Project X ,Oliver Cooper
Franklin J. Schaffner,Karl Malden,George C. Scott,Patton ,Bill Hickman
Mark Romanek,Gary Cole,Robin Williams,One Hour Photo ,Connie Nielsen
John Erick Dowdle,Jay Hernandez,Andrew Fiscella,Quarantine ,Dania Ramirez
David Moreau,Alessandro Nivola,Chloë Grace Moretz,The Eye ,Obba Babatundé
Christopher Erskin,Shannon Elizabeth,Vanessa Williams,Johnson Family Vacation ,Shad Moss
Jesse Dylan,Fred Willard,Hector Elizondo,How High ,T.J. Thyne
Brian Henson,Jerry Nelson,Steven Mackintosh,The Muppet Christmas Carol ,Steve Whitmire
Martin Campbell,Tobias Menzies,Eva Green,Casino Royale ,Ivana Milicevic
Julie Taymor,Roger Rees,Salma Hayek,Frida ,Valeria Golino
Dan Cutforth,Ashley Ashida Dixon,Lexie Contursi,Katy Perry: Part of Me ,Anthony Burrell
Josh Boone,Sam Trammell,Shailene Woodley,The Fault in Our Stars ,Nat Wolff
John Dahl,Martin Landau,Matt Damon,Rounders ,Gretchen Mol
Chris Rock,Romany Malco,Rosario Dawson,Top Five ,J.B. Smoove
John Frankenheimer,Richard Dysart,Talia Shire,Prophecy ,Robert Foxworth
David Koepp,Kathryn Erbe,Illeana Douglas,Stir of Echoes ,Lusia Strus
,,,,
Stephen Frears,Mare Winningham,Steve Coogan,Philomena ,Peter Hermann
Mike Binder,Erika Christensen,Alicia Witt,The Upside of Anger ,Joan Allen
Franklin J. Schaffner,Anne Meara,Laurence Olivier,The Boys from Brazil ,Steve Guttenberg
Elizabeth Allen Rosenbaum,Joanna 'JoJo' Levesque,Tammin Sursok,Aquamarine ,Dichen Lachman
Jake Schreier,Cara Delevingne,Nat Wolff,Paper Towns ,Meg Crosbie
Cheryl Dunye,Marsha Thomason,Michael Imperioli,My Baby's Daddy ,Bai Ling
Alexander Payne,Bruce Dern,Devin Ratray,Nebraska ,Will Forte
Ernest R. Dickerson,Jada Pinkett Smith,CCH Pounder,Tales from the Crypt: Demon Knight ,Gary Farmer
Tim Hill,Amber Valletta,Noel Fisher,Max Keeble's Big Move ,Larry Miller
Jason Reitman,Patton Oswalt,Charlize Theron,Young Adult ,Collette Wolfe
Mark Neveldine,Edi Gathegi,Jason Statham,Crank ,Jose Pablo Cantillo
Lionel C. Martin,Gilbert Gottfried,Bernie Mac,How to Be a Player ,Lark Voorhies
Richard LaGravenese,Eddie Cibrian,Holly Hunter,Living Out Loud ,Jenette Goldstein
Sanaa Hamri,Laz Alonso,Common,Just Wright ,Mehcad Brooks
Jonathan Demme,Rosemarie DeWitt,Anne Hathaway,Rachel Getting Married ,Bill Irwin
Bob Rafelson,Michael Lerner,Anjelica Huston,The Postman Always Rings Twice ,John Colicos
Peter Webber,Colin Firth,Scarlett Johansson,Girl with a Pearl Earring ,Tom Wilkinson
Wolfgang Petersen,Martin Semmelrogge,Jürgen Prochnow,Das Boot ,Herbert Grönemeyer
John Lee Hancock,Marc Blucas,Dennis Quaid,The Alamo ,Jordi Mollà
Wallace Wolodarsky,Barry Watson,Heather Matarazzo,Sorority Boys ,Harland Williams
Richard Curtis,Tom Hollander,Tom Hughes,About Time ,Lindsay Duncan
Yimou Zhang,Andy Lau,Takeshi Kaneshiro,House of Flying Daggers ,Zhengyong Zhang
Nicholas Jarecki,Curtiss Cook,Nate Parker,Arbitrage ,Reg E. Cathey
Dean Israelite,Jonny Weston,Gary Weeks,Project Almanac ,Sofia Black-D'Elia
Darnell Martin,Veronika Dash,Cedric the Entertainer,Cadillac Records ,Tammy Blanchard
Scott Alexander,Dave Chappelle,Sarah Silverman,Screwed ,Sherman Hemsley
Stuart Gordon,Kurtwood Smith,Christopher Lambert,Fortress ,Clifton Collins Jr.
Christopher Guest,Catherine O'Hara,John Michael Higgins,For Your Consideration ,Ed Begley Jr.
Woody Allen,Aleksa Palladino,Melanie Griffith,Celebrity ,Greg Mottola
Ryan Murphy,Joseph Cross,Jill Clayburgh,Running with Scissors ,Dagmara Dominczyk
Robert Iscove,Kelly Clarkson,Anika Noni Rose,From Justin to Kelly ,Brian Dietzen
Spike Lee,Debi Mazar,Michael Imperioli,Girl 6 ,Gretchen Mol
Jane Campion,Nick Damici,Jennifer Jason Leigh,In the Cut ,Susan Gardner
James Gray,Vinessa Shaw,Isabella Rossellini,Two Lovers ,Samantha Ivers
Fred Schepisi,Ray Winstone,Bob Hoskins,Last Orders ,JJ Feild
Joon-ho Bong,Kang-ho Song,Doona Bae,The Host ,Ah-sung Ko
Roger Spottiswoode,Treat Williams,Robert Duvall,The Pursuit of D.B. Cooper ,Paul Gleason
Antonia Bird,Jeffrey Jones,Jeremy Davies,Ravenous ,David Arquette
Jon Poll,Megan Park,Robert Downey Jr.,Charlie Bartlett ,Hope Davis
Paolo Sorrentino,Sabrina Ferilli,Toni Servillo,The Great Beauty ,Serena Grandi
Peter Care,Michael Harding,Kieran Culkin,The Dangerous Lives of Altar Boys ,Jake Richardson
Chan-wook Park,Alden Ehrenreich,Mia Wasikowska,Stoker ,Harmony Korine
Kar-Wai Wong,Tony Chiu Wai Leung,Li Gong,2046 ,Maggie Cheung
Ira Sachs,Erin Boyes,David Richmond-Peck,Married Life ,Timothy Webber
Carroll Ballard,Hope Davis,Eamonn Walker,Duma ,Campbell Scott
Neil Jordan,Stephen Rea,Tony Curran,Ondine ,Alicja Bachleda
Takeshi Kitano,Tatyana Ali,Omar Epps,Brother ,James Shigeta
Anthony Russo,Isaiah Washington,Michael Jeter,Welcome to Collinwood ,Andy Davoli
Sidney Lumet,Anne Bancroft,Kyra Sedgwick,Critical Care ,Albert Brooks
Vadim Perelman,Lynn Cohen,Eva Amurri Martino,The Life Before Her Eyes ,Brett Cullen
Lawrence Kasdan,Mark Duplass,Dianne Wiest,Darling Companion ,Sam Shepard
Marco Kreuzpaintner,Kate del Castillo,Zack Ward,Trade ,Alicja Bachleda
Lajos Koltai,Péter Fancsikai,Marcell Nagy,Fateless ,Bálint Péntek
Alan Rudolph,Albert Finney,Bruce Willis,Breakfast of Champions ,Omar Epps
Yimou Zhang,Ni Yan,Honglei Sun,"A Woman, a Gun and a Noodle Shop ",Dahong Ni
Vincenzo Natali,Jeremy Northam,David Hewlett,Cypher ,Kari Matchett
Chuan Lu,Yuanyuan Gao,Ye Liu,City of Life and Death ,Ryu Kohata
Tim Johnson,Matt Jones,Jim Parsons,Home ,April Winchell
Lijun Sun,Tom Arnold,Jon Heder,Legend of Kung Fu Rabbit ,Rebecca Black
Takashi Yamazaki,Meisa Kuroki,Takuya Kimura,Space Battleship Yamato ,Hiroyuki Ikeuchi
Renny Harlin,Kenneth Cranham,Richard Coyle,5 Days of War ,Ana Imnadze
Christopher Smith,Michael Dorman,Rachael Carpani,Triangle ,Emma Lung
Timothy Hines,Kelly LeBrock,Christopher Lambert,10 Days in a Madhouse ,Alexandra Callas
Randall Wallace,Connor Corum,Jacob Vargas,Heaven Is for Real ,Rob Moran
Guy Ritchie,Brad Pitt,Jason Statham,Snatch ,Jason Flemyng
David Winters,Matt Marr,Gary Daniels,Dancin' It's On ,Ginger Jensen
Mary Lambert,Fred Gwynne,Miko Hughes,Pet Sematary ,Denise Crosby
Akira Kurosawa,Tetsu Watanabe,Tatsuo Matsumura,Madadayo ,Akira Terao
Jamie Thraves,Caroline Dhavernas,Paddy Considine,The Cry of the Owl ,Charlotte Sullivan
Mabel Cheung,Ching Wan Lau,Wei Tang,A Tale of Three Cities ,Hailu Qin
Joe Dante,Harry Carey Jr.,Phoebe Cates,Gremlins ,Zach Galligan
George Lucas,Peter Cushing,Harrison Ford,Star Wars: Episode IV - A New Hope ,Kenny Baker
Dan Mazer,Zoey Deutch,Robert De Niro,Dirty Grandpa ,Jason Mantzoukas
David Lean,Klaus Kinski,Julie Christie,Doctor Zhivago ,Geraldine Chaplin
Stephen Daldry,Selton Mello,Wagner Moura,Trash ,Daniel Zettel
Kenny Ortega,Matt Prokop,Lucas Grabeel,High School Musical 3: Senior Year ,Corbin Bleu
David O. Russell,Jack McGee,Christian Bale,The Fighter ,Melissa McMeekin
Jeff Tremaine,Steve-O,Bam Margera,Jackass Number Two ,Chris Pontius
Jonathan Lynn,Bruce McGill,Fred Gwynne,My Cousin Vinny ,Lane Smith
R.J. Cutler,Mireille Enos,Chloë Grace Moretz,If I Stay ,Stacy Keach
Brian Trenchard-Smith,Damien Garvey,Zoe Ventoura,Drive Hard ,Christopher Sommers
David S. Ward,Tom Berenger,Corbin Bernsen,Major League ,Rene Russo
Oliver Parker,Rupert Everett,Lily Cole,St. Trinian's ,Tamsin Egerton
Joel Schumacher,John Enos III,Radha Mitchell,Phone Booth ,Richard T. Jones
Adam Shankman,Peter Coyote,Lauren German,A Walk to Remember ,Paz de la Huerta
Tim Robbins,Celia Weston,Lois Smith,Dead Man Walking ,Robert Prosky
Roger Kumble,Sean Patrick Thomas,Sarah Michelle Gellar,Cruel Intentions ,Eric Mabius
Kevin Greutert,Shawnee Smith,Costas Mandylor,Saw VI ,George Newbern
Mel Brooks,Sid Caesar,Madeline Kahn,History of the World: Part I ,Dom DeLuise
Gina Prince-Bythewood,Alicia Keys,Nate Parker,The Secret Life of Bees ,Jennifer Hudson
Rob Pritts,Vinessa Shaw,Vincent Pastore,Corky Romano ,Peter Berg
Brian De Palma,Gabrielle Carteris,Steven Bauer,Raising Cain ,Gregg Henry
Norman Jewison,Peter Boyle,Sylvester Stallone,F.I.S.T. ,Rod Steiger
Tobe Hooper,Bud Cort,Louise Fletcher,Invaders from Mars ,William Bassett
John Crowley,Fiona Glascott,Julie Walters,Brooklyn ,Eva Birthistle
Stanley Kubrick,Steven Berkoff,Ryan O'Neal,Barry Lyndon ,Hardy Krüger
Brendan Malloy,Jason London,Lee Majors,Out Cold ,Thomas Lennon
Reginald Hudlin,John Witherspoon,Will Ferrell,The Ladies Man ,Tim Meadows
Dustin Hoffman,Sheridan Smith,Luke Newberry,Quartet ,Pauline Collins
Gregory Poirier,Jake Busey,Shannon Elizabeth,Tomcats ,David Ogden Stiers
Bill Paxton,Powers Boothe,Matthew McConaughey,Frailty ,Matt O'Leary
Simon Curtis,Frances Fisher,Ryan Reynolds,Woman in Gold ,Elizabeth McGovern
Bill Condon,Oliver Platt,Liam Neeson,Kinsey ,Dylan Baker
Sam Raimi,Bridget Fonda,Patricia Tallman,Army of Darkness ,Embeth Davidtz
Dewey Nicks,Gedde Watanabe,Jaime King,Slackers ,Jim Rash
Lasse Hallström,Leonardo DiCaprio,Johnny Depp,What's Eating Gilbert Grape ,Kevin Tighe
Philip Saville,Alan Van Sprang,Henry Ian Cusick,The Visual Bible: The Gospel of John ,Scott Handy
Mike Leigh,Sally Hawkins,Eddie Marsan,Vera Drake ,Imelda Staunton
Daisy von Scherler Mayer,Dash Mihok,Michael McKean,The Guru ,Jimi Mistry
Mira Nair,Chazz Palminteri,Anjelica Huston,The Perez Family ,Vincent Gallo
Ethan Coen,Max Casella,Justin Timberlake,Inside Llewyn Davis ,Alex Karpovsky
Tim Blake Nelson,Andrew Keegan,Mekhi Phifer,O ,John Heard
William A. Graham,Wayne Pygram,Milla Jovovich,Return to the Blue Lagoon ,Lisa Pelikan
Martin Ritt,Anthony Zerbe,Frank Finlay,The Molly Maguires ,Samantha Eggar
John Turturro,Steve Buscemi,Kate Winslet,Romance & Cigarettes ,Eddie Izzard
Agnieszka Holland,David Kennedy,Phyllida Law,Copying Beethoven ,Angus Barnett
Tobe Hooper,Zelda Rubinstein,Heather O'Rourke,Poltergeist ,Craig T. Nelson
Rowan Joffe,Sean Harris,Sam Riley,Brighton Rock ,Geoff Bell
David Hackl,Costas Mandylor,Julie Benz,Saw V ,Scott Patterson
Giuliano Montaldo,Gena Rowlands,John Cassavetes,Machine Gun McCain ,Britt Ekland
Lisa Azuelos,Lina Esco,Nora Dunn,LOL ,Alix Freihage
Ray Lawrence,Deborra-Lee Furness,John Howard,Jindabyne ,Max Cullen
Karan Johar,John Abraham,Shah Rukh Khan,Kabhi Alvida Naa Kehna ,Preity Zinta
Oliver Parker,Rupert Everett,Minnie Driver,An Ideal Husband ,Jeremy Northam
Ruairi Robinson,Olivia Williams,Romola Garai,The Last Days on Mars ,Tom Cullen
Jaume Balagueró,Giancarlo Giannini,Lena Olin,Darkness ,Francesc Pagès
